name,type,website,city,state_id,address,latitude,longitude,firstname,lastname,role,email,phone_number,facebook,x,instagram,mondayOpen,mondayClose,tuesdayOpen,tuesdayClose,wednesdayOpen,wednesdayClose,thursdayOpen,thursdayClose,fridayOpen,fridayClose,saturdayOpen,saturdayClose,sundayOpen,sundayClose,zip,merchandise,social_media
Chattahoochee Brewing Co.,Brewpub,,Phenix City,AL,505 13th St Ste A,40.3979,-82.7973,Derrell,Wifalsewich,BREWERY_OWNER,chattbrew@gmail.com,(334) 559-0663,https://web.facebook.com/ChattahoocheeBrewing,https://twitter.com/chattahoocheebc,,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,12:00,24:00,12:00,24:00,Closed,Closed,36867,false,false
"Common Bond Brewers, LLC",Taproom,https://www.commonbondbrewers.com/,Montgomery,AL,424 Bibb Street,39.9805,-82.9981,Andrew/Tim,McNally/Doles,BREWERY_OWNER,info@commonbondbrewers.com,(334) 676-2287,https://web.facebook.com/Commonbondbrewers/,https://www.twitter.com/commonbondbrew,https://www.instagram.com/commonbondbrewers,Closed,Closed,Closed,Closed,15:00,21:00,15:00,21:00,12:00,22:00,12:00,22:00,14:00,20:00,36104,false,true
Cross-Eyed Owl Brewing Co.,Taproom,http://www.xeobrewing.com/,Decatur,AL,105 1st Ave NE,41.38379,-81.9788,Trey,Atwood,BREWERY_OWNER,sales@xeobrewing.com,(256) 274-9002,https://web.facebook.com/xeobrewing,https://twitter.com/xeobrewing,http://instagram.com/xeobrewing,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,16:00,23:00,11:00,23:00,12:00,18:00,35601,false,true
Dread River Distilling Company,Brewpub,https://www.dreadriver.com/,Birmingham,AL,2400 7th Ave S,41.23928,-81.7448,Jeff/John,Dugas/Cubelic,BREWERY_OWNER,info@dreadriver.com,(205) 588-1744,https://web.facebook.com/DreadRiverCo/,https://www.twitter.com/dreadriverco,https://www.instagram.com/dreadriverco,Closed,Closed,15:00,22:00,15:00,22:00,15:00,22:00,15:00,23:00,12:00,23:00,Closed,Closed,35233,true,true
Druid City Brewing,Micro,http://druidcitybrewing.com/,Tuscaloosa,AL,607 14th St,41.2089,-81.4483,Bo,Hicks,BREWERY_OWNER,taproom@druidcitybrewing.com,(205) 342-0051,https://web.facebook.com/DruidCityBrewingCompany,https://twitter.com/DruidCityBrew,https://www.instagram.com/DruidCityBrewingco/,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,12:00,22:00,12:00,22:00,35401,true,true
Fairhope Brewing Co,Micro,https://www.fairhopebrewing.com/,Fairhope,AL,914 Nichols Ave,41.02773,-81.461,Jacob,Sellers,BREWERY_MANAGER,info@fairhopebrewing.com,(251) 279-7517,https://web.facebook.com/FairhopeBrewing,https://twitter.com/fairhopebrewing,https://www.instagram.com/fairhopebrewing/,13:00,18:00,13:00,18:00,13:00,20:00,13:00,20:00,13:00,22:00,13:00,22:00,13:00,22:00,36532,true,true
Ferus Artisan Ales,Brewpub,https://www.ferusales.com/,Trussville,AL,101 Beech St,39.16003,-84.5414,Nate,Darnell,BREWERY_MANAGER,NATE@FERUSALES.COM,(205).508.-3001,https://web.facebook.com/FerusArtisanAles,,https://www.instagram.com/ferusales/?hl=en,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,11:00,21:00,35173,false,true
Folklore Brewing & Meadery,Micro,https://www.folklorebrewingandmeadery.com/,Dothan,AL,153 Mary Lou Ln,41.0129,-81.6125,Jeremy,Pate,BREWERY_MANAGER,info@folklorebrewing.com,(334) 702-2337,https://web.facebook.com/FolkloreBrewing/,,https://www.instagram.com/folklorebrewing,11:00,19:00,11:00,19:00,11:00,19:00,11:00,21:00,11:00,23:00,11:00,23:00,13:00,19:00,36301,true,true
Fractal Brewing Project,Taproom,https://fractalbrewing.com/,Huntsville,AL,3200 Leeman Ferry Rd,40.16344,-83.0733,Larry,Lowe,BREWERY_OWNER,info@fractalbrewing.com,(256) 489-5520,https://web.facebook.com/FractalBrewing,,https://www.instagram.com/fractalbrewing/,15:00,21:00,15:00,21:00,15:00,21:00,15:00,21:00,13:00,23:00,11:00,23:00,11:00,19:00,35801,false,true
GTs On the Bay,Brewpub,https://gtsonthebay.com/,Orange Beach,AL,26189 Canal Rd,40.883,-80.6435,Brian and Jodi,Harsany,BREWERY_OWNER,gtsonthebay@gmail.com,(251) 980-8400,https://web.facebook.com/gtsonthebay,https://twitter.com/gtsonthebay,https://www.instagram.com/gtsonthebay/,11:00,14:00,11:00,21:30,11:00,21:30,11:00,21:30,11:00,22:00,11:00,22:00,11:00,14:00,36561,false,true
Ghost Train Brewing Co,Micro,https://ghosttrainbrewing.com/,Birmingham,AL,3501 1ST AVE S,41.48671,-81.8237,Taylor/Patrick,DeBoer/Small,BREWERY_OWNER,marketing@ghosttrainbrewing.com,(205) 777-5071,https://web.facebook.com/ghosttrainbrewing,,https://www.instagram.com/ghost_train_brewing/,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,12:00,24:00,12:00,24:00,12:00,21:00,35222,false,true
Goat Island Brewing,Micro,http://www.goatislandbrewing.com/,Cullman,AL,1646 A John H Cooper Drive,40.4746,-83.8968,Gery/John/Mike,Teichmiller/Dean/Mullaney,BREWERY_OWNER,hannah@goatislandbrewing.com,(256) 747-5556,https://web.facebook.com/goatislandbrewing,https://twitter.com/goatislandbrew,http://instagram.com/goatislandbrewing,Closed,Closed,12:00,22:00,12:00,22:00,12:00,23:00,12:00,23:00,12:00,23:00,13:00,19:00,35055,true,true
Good People Brewing Co,Regional,https://www.goodpeoplebrewing.com/,Birmingham,AL,114 14th St S,41.5577,-83.6297,Michael,Sellers,BREWERY_OWNER,info@goodpeoplebrewing.com,(205) 326-4229,https://web.facebook.com/GoodPeopleBrewing/,http://twitter.com/gpbrewing,https://www.instagram.com/gpbrewing,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,24:00,12:00,20:00,13:00,18:00,35233,true,true
Green Bus Brewing,Brewpub,,Huntsville,AL,206 Eustis Ave SE,41.71715,-83.7034,Carey/Jeff,Huff/Sanders,BREWERY_OWNER,carey@greenbusbrewing.com,(256) 701-4764,https://web.facebook.com/GreenBusBrewing,https://twitter.com/greenbusbrewing,https://www.instagram.com/greenbusbrewing,15:00,21:00,15:00,21:00,15:00,22:00,15:00,22:00,15:00,23:00,15:00,23:00,12:00,21:00,35801,false,false
InnerSpace Brewing Company,Taproom,https://innerspacebrewing.com/,Huntsville,AL,2414 Clinton Ave W,39.33171,-82.0906,Stewart,Money,BREWERY_OWNER,stewart@innerspacebrewing.com,(256) 489-5599,https://web.facebook.com/InnerSpaceBrewing,https://twitter.com/innerspacebrews,https://www.instagram.com/innerspacebrewing,Closed,Closed,16:00,22:00,16:00,22:00,16:00,22:00,11:45,23:00,12:00,23:00,13:00,18:00,35805,false,true
InterStellar Ginger Beer and Exploration Co,Taproom,http://interstellarginger.com/,Alabaster,AL,260A Regency Park Dr,39.96635,-82.9971,Dr. Shane/Daniel,Kelly/Sims,BREWERY_OWNER,InterstellarGinger@gmail.com,(205) 335-1363,https://web.facebook.com/interstellarginger,https://twitter.com/interstellargbc,https://www.instagram.com/interstellargingerbeer/,Closed,Closed,Closed,Closed,16:00,21:00,16:00,22:00,14:00,22:00,14:00,22:00,15:00,20:00,35007,true,true
"Iron Hand Brewing, LLC",Brewpub,https://ironhandbrewing.com/,Mobile,AL,206 State Street,39.32772,-82.1023,Michele,Strong,BREWERY_OWNER,ironhandbrewing@gmail.com,(251) 725-6912,https://web.facebook.com/ironhandbrewing,https://twitter.com/ironhandbrewing,https://instagram.com/ironhandbrewing/,Closed,Closed,Closed,Closed,16:00,21:00,16:00,21:00,11:00,21:00,11:00,21:00,10:00,16:00,36603,false,true
John Emerald Distilling Company,Taproom,https://www.johnemeralddistilling.com/,Opelika,AL,706 N Railroad Ave,40.79954,-81.9346,Jimmy and John,Sharp,BREWERY_OWNER,jed@johnemeralddistilling.com,(334) 737-5353,https://web.facebook.com/Johnemeralddistilling/,http://www.twitter.com/Jedspirits,http://www.instagram.com/johnemeralddistilling,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,24:00,12:00,24:00,13:00,19:00,36801,true,true
Mad Malts Brewery & Tap Room,Taproom,https://sites.google.com/view/madmalts,Huntsville,AL,109 Maple Ave NW,41.37401,-83.6503,Jeff/Chris,Peck/Bramon,BREWERY_OWNER,jeff@madmaltsbrewing.com/chris@madmaltsbrewing.com,(256) 503 2233,https://web.facebook.com/MadMaltsBrewing1,https://twitter.com/madmaltsbrewing,https://www.instagram.com/madmaltsbrewing/,Closed,Closed,16:00,21:00,16:00,21:00,16:00,21:00,16:00,22:00,16:00,22:00,Closed,Closed,35801,true,true
Main Channel Brewing Company,Taproom,https://alabama.travel/places-to-go/main-channel-brewing-company,Albertville,AL,210 Sand Mountain Dr,39.98534,-83.053,Brett. Clay and Sarah,Smith,BREWERY_OWNER,mainchannelbeer@gmail.com,(256) 660-0335,https://web.facebook.com/MainChannelAlbertville,https://twitter.com/mainchannelbeerr,https://www.instagram.com/mainchannelbeer,14:00,21:00,14:00,21:00,14:00,21:00,14:00,21:00,14:00,22:00,14:00,22:00,12:00,18:00,35950,false,true
Monday Night Brewing - Birmingham,Brewpub,https://mondaynightbrewing.com/,Birmingham,AL,14 12th St S,41.1365,-81.8684,Jeff,Heck,BREWERY_OWNER,marketing@mondaynightbrewing.com,(205) 444-1429,https://web.facebook.com/MondayNightBHM,https://twitter.com/MondayNightAL,https://www.instagram.com/mondaynightbhm/,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,24:00,11:30,24:00,11:30,20:00,35233,true,true
Oak Mountain Brewing Company LLC,Brewpub,https://www.oakmountainbrewing.com/,Pelham,AL,110 Cahaba Valley Rd,41.195,-81.8859,Peter,Genereux,BREWERY_OWNER,info@oakmountainbrewing.com,(205) 994-6544,https://web.facebook.com/Oakmountainbrewing/,https://twitter.com/om_brewing,https://www.instagram.com/oakmountainbrewing,15:00,22:00,falseInfo,falseInfo,15:00,22:00,14:00,23:00,12:00,24:00,12:00,24:00,12:00,20:00,35124,true,true
Old 31 Brewing,Taproom,https://www.old31brewing.com/,Spanish Fort,AL,11133 Old Hwy 31,41.0964,-80.9903,Nick,Pronesti,BREWERY_OWNER,old31brewing@gmail.com,,https://web.facebook.com/old31brewing/?_rdc=1&_rdr,,,falseInfo,falseInfo,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,11:00,22:00,12:00,22:00,36527,true,true
Old Black Bear Brewing,Taproom,https://oldblackbear.com/,Madison,AL,212 Main St,40.54865,-84.5706,John,Seaton,BREWERY_OWNER,jcrowe@oldblackbear.com,(256) 850-4639,https://www.facebook.com/drinkmorebear,https://twitter.com/oldblackbear,http://www.instagram.com/oldblackbearbrewing,16:00,23:00,16:00,23:00,16:00,23:00,16:00,23:00,11:00,23:00,11:00,23:00,10:00,16:00,35758,true,true
Old Majestic Brewing Company,Taproom,https://www.oldmajesticbrewing.com/,Mobile,AL,656 Saint Louis St,39.95762,-83.0114,John,Minton,BREWERY_MANAGER,info@oldmajesticbrewing.com,(251) 283-3132,https://web.facebook.com/OldMajesticBrewery/,,https://www.instagram.com/oldmajesticbrewingco/,16:00,21:00,16:00,21:00,16:00,21:00,16:00,22:00,15:00,23:00,11:00,23:00,11:00,21:00,36602,false,true
Oversoul Brewing,Taproom,,Helena,AL,4161 Helena Rd,39.4356,-84.2088,Jason and Scott,Pruitt,BREWERY_OWNER,Oversoulbrewing@gmail.co,(205) 999-6444,https://www.facebook.com/OversoulBrewing,,https://www.instagram.com/oversoul_brewing,Closed,Closed,Closed,Closed,17:00,21:00,falseInfo,falseInfo,17:00,22:00,falseInfo,falseInfo,13:00,18:00,35080,false,false
Oyster City Brewing Company,Taproom,https://oystercity.beer/,Mobile,AL,600 Government St,39.14644,-84.4723,Cassie,Gary,BREWERY_OWNER,info@oystercity.beer,(251) 318-2596,https://web.facebook.com/ocbcmobile/,,https://www.instagram.com/oystercitybrewingcompany,14:00,22:00,14:00,22:00,14:00,22:00,14:00,22:00,12:00,23:00,12:00,23:00,12:00,21:00,36602,false,true
Red Clay Brewing Company,Brewpub,http://redclaybrewingcompany.com/,Opelika,AL,704 N Railroad Ave,39.33298,-82.1296,Kerry,McGinnis,BREWERY_OWNER,INFO@REDCLAYBREWINGCOMPANY.COM,(334) 737-5409,https://web.facebook.com/RedClayBeer,https://twitter.com/redclaybrew,https://www.instagram.com/redclaybrew/,16:00,20:00,16:00,22:00,16:00,22:00,16:00,22:00,11:00,24:00,11:00,24:00,Closed,Closed,36801,false,true
Resting Pulse Brewing Company,Brewpub,https://www.restingpulsebrewing.com/,Opelika,AL,714 1st Ave,39.76306,-84.1818,Dave,Plundo,BREWERY_OWNER,terri@restingpulsebrewing.com,(334) 203-1364,https://web.facebook.com/restingpulsebrewingco/,,https://www.instagram.com/restingpulsebrewingco,12:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,12:00,22:00,36801,true,true
Salty Nut Brewery,Taproom,http://www.saltynutbrewery.com/,Huntsville,AL,2406 Clinton Ave W,39.17211,-84.2966,Brent,Cole,BREWERY_OWNER,saltynutbreweryhsv@gmail.com,(256) 489-1490,https://web.facebook.com/SaltyNutBreweryHSV/,http://www.twitter.com/saltynutbrewhsv,http://www.instagram.com/saltynutbrewhsv,16:00,22:00,falseInfo,falseInfo,falseInfo,falseInfo,16:00,22:00,14:00,22:00,14:00,22:00,14:00,20:00,35805,false,true
Siluria Brewing Company,Taproom,https://www.siluriabrewing.com/,Alabaster,AL,145 1st Ave W.,41.0832,-81.5079,Danny,Sample,BREWERY_OWNER,siluriabrewing@gmail.com,(205) 624-3037,https://web.facebook.com/siluriabrewing,,https://www.instagram.com/siluriabrewing,Closed,Closed,16:00,22:00,16:00,22:00,16:00,22:00,16:00,23:00,14:00,23:00,Closed,Closed,35007,false,true
"Singin' River Brewing Company, LLC",Micro,https://www.singinriverbrewing.com/,Florence,AL,526 E College St,39.60897,-84.1628,Rob,Jones,BREWERY_OWNER,rob@singinriverbrewing.com,(256) 349-2294,https://web.facebook.com/SinginRiverBrewingCo,http://www.twitter.com/singinriver,https://instagram.com/singinriver,Closed,Closed,16:00,21:00,16:00,21:00,16:00,21:00,16:00,21:00,14:00,21:00,13:00,18:00,35630,false,true
Straight to Ale,Micro,https://straighttoale.com/,Huntsville,AL,2610 Clinton Ave W,39.76378,-84.1864,Dan,Perry,BREWERY_OWNER,info@straighttoale.com,(256) 801-9650,https://web.facebook.com/straighttoale/,http://twitter.com/straighttoale,http://instagram.com/straighttoale,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,11:00,20:00,35805,true,true
Tallulah Brewing Company,Taproom,https://www.tallulahbrewing.com/,Jasper,AL,1804 4th Ave S,40.63906,-81.444,Drew,Gilbert,BREWERY_MANAGER,info@tallulahbrewing.com,(205) 530-8555,https://web.facebook.com/TallulahBrewing/,https://twitter.com/TallulahBrewing,https://www.instagram.com/tallulahbrewing,16:00,22:00,16:00,22:00,16:00,22:00,16:00,22:00,16:00,23:00,16:00,23:00,Closed,Closed,35501,false,true
The Grocery Brewpub,Brewpub,https://www.thegrocerybrewpub.com/,Homewood,AL,2823 Central Ave Ste 107,39.61544,-84.1585,Rayford,Cook,BREWERY_OWNER,,(205) 637-0990,https://web.facebook.com/thegrocerybrewpub,https://twitter.com/grocerybrewpub,https://www.instagram.com/thegrocerybrewpub,15:00,22:00,15:00,22:00,15:00,24:00,15:00,24:00,14:00,02:00,12:00,02:00,00:00,22:00,35209,false,true
The Railyard Brewing Co,Brewpub,http://www.tavernandporterroom.com/,Montgomery,AL,12 W Jefferson St Ste 100,39.84316,-82.8069,Bob,Parker,BREWERY_OWNER,info@railyardbrewingcompany.com,(334) 262-0080,https://web.facebook.com/railyardbrewco,https://twitter.com/railyardbrewco,,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,23:00,11:00,23:00,11:00,23:00,36104,false,true
Trim Tab Brewing,Micro,https://www.trimtabbrewing.com/,Birmingham,AL,2721 5th Ave S,39.63919,-84.2881,Harris,Stewart,BREWERY_OWNER,contact@trimtabbrewing.com,(205) 374-8749,https://web.facebook.com/TrimTabBrewing/,,https://www.instagram.com/trimtabbrewing/,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,24:00,12:00,24:00,12:00,22:00,35233,true,true
True Story Brewing Company,Brewpub,,Birmingham,AL,5510 Crestwood Blvd,41.13878,-81.3722,Craig,Shaw,BREWERY_OWNER,truestorybrewing@gmail.com,(205) 593-4144,https://web.facebook.com/truestorybrewing,https://twitter.com/truestorybrew,https://www.instagram.com/truestorybrew/?hl=en,16:00,21:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,12:00,23:00,14:00,22:00,35212,false,false
Twisted Barley Brewing Company,Taproom,https://twistedbarley.square.site/,Jasper,AL,520 19th St W,39.1558,-84.4254,Mason,Googled,BREWERY_OWNER,twistedbarleybrewing@gmail.com,(205) 265-3253,https://web.facebook.com/twistedbarleybrewingco,https://twitter.com/twistedbarley,https://www.instagram.com/twistedbarley/,Closed,Closed,Closed,Closed,16:00,23:00,12:00,23:00,12:00,23:00,14:00,20:00,Closed,Closed,35501,false,true
Yellowhammer Brewery,Micro,https://www.yellowhammerbrewery.com/,Huntsville,AL,2600 Clinton Ave W,41.02477,-81.5488,Ethan,Couch,BREWERY_OWNER,info@yellowhammerbrewery.com,(256) 489-3510,https://web.facebook.com/yellowhammerbrewing/,https://twitter.com/yellowhammerale,https://www.instagram.com/yellowhammer_brewing/,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,23:00,11:00,23:00,11:00,20:00,35805,true,true
49th State Brewing Co,Brewpub,https://www.49statebrewing.com/,Healy,AK,Mile 248.4 Parks Hwy,40.95348,-81.2781,Jason,Motyka,BREWERY_OWNER,info@49thstatebrewing.com,907-683-2739,https://www.facebook.com/49thStateBrewingCoAnchorage/,https://www.instagram.com/49thstatebrewing/,https://twitter.com/49thstatebrew,11:00,24:00,11:00,24:00,11:00,24:00,11:00,24:00,11:00,24:00,11:00,01:30,11:00,24:00,99743,true,true
49th State Brewing Co - Anchorage,Brewpub,https://www.49statebrewing.com/,Anchorage,AK,717 W 3rd Ave,39.27968,-84.3489,David,McCarthy,BREWERY_OWNER,info@49thstatebrewing.com,(907) 277-7727,https://www.facebook.com/49thStateBrewingDenaliPark/,https://www.instagram.com/49thstatebrewing/,https://twitter.com/49thstatebrew,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,99501,true,true
49th State Brewing- The Rail,Brewpub,https://www.49statebrewing.com/,Anchorage,AK,721 Depot Drive,39.41185,-81.4535,,,BREWERY_MANAGER,info@49thstatebrewing.com,(907) 683-2739,https://www.facebook.com/49thStateBrewingCoAnchorage/,https://www.instagram.com/49thstatebrewing/,https://twitter.com/49thstatebrew,11:00,24:00,11:00,24:00,11:00,24:00,11:00,24:00,11:00,24:00,11:00,01:30,11:00,24:00,99501,true,true
Alaskan Brewing Co.,Regional,www.alaskanbeer.com,Juneau,AK,5429 Shaune Dr,40.58762,-83.129,Geoff,Larson,BREWERY_OWNER,info@alaskanbeer.com,(907) 780-5866,https://www.facebook.com/AlaskanBrewingCo,https://www.instagram.com/alaskanbrewing/,https://twitter.com/AlaskanBrewing,12:00,19:00,falseInfo,falseInfo,falseInfo,falseInfo,falseInfo,falseInfo,falseInfo,falseInfo,12:00,19:00,12:00,18:00,99801,false,true
Alpenglow Brewery,Taproom,https://www.alpenglowbrewery.com/,Anchorage,AK,3024 Mountain View Drive,41.48505,-81.7033,Lori,Morse,BREWERY_OWNER,Info@AlpenglowBrewery.com,(907) 602-3103,https://www.facebook.com/AlpenglowBrewery,https://www.instagram.com/alpenglowbrewery/,,Closed,Closed,Closed,Closed,16:00,20:00,16:00,20:00,14:00,20:00,14:00,20:00,14:00,20:00,99501,false,true
Anchorage Brewing Co,Micro,https://anchoragebrewing.company/,Anchorage,AK,148 W 91st Ave,41.48636,-81.7029,Gabe,Fletcher,BREWERY_OWNER,anchoragebrewing@gmail.com, (907) 360-5104,https://www.facebook.com/Anchorage-Brewing-Company-329603410491223/,https://www.instagram.com/anchoragebrewing/,https://twitter.com/anchoragebrew,14:00,20:00,14:00,20:00,14:00,20:00,14:00,20:00,14:00,22:00,12:00,22:00,12:00,20:00,99515,false,true
Arkose Brewery,Taproom,www.arkosebrewery.com,Palmer,AK,650 E Steel Loop,41.50418,-81.6854,Stephen,Gerteisen,BREWERY_OWNER,info@arkosebrewery.com,(907) 746-2337,https://www.facebook.com/ARKOSEBEER/,https://www.instagram.com/arkosebrewery/,https://twitter.com/ArkoseBeer,16:00,19:00,16:00,19:00,14:00,19:00,14:00,19:00,14:00,19:00,14:00,19:00,14:00,17:00,99645,true,true
Barnaby Brewing Company,Taproom,https://www.barnabybrew.com/,Juneau,AK,165 Shattuck Way,41.6433,-83.5385,Matt,Barnaby,BREWERY_OWNER,barnabybrewing@gmail.com,(907) 419-0916,https://web.facebook.com/barnabybrewing,http://instagram.com/barnabybrewing,,15:00,20:00,15:00,20:00,15:00,20:00,15:00,20:00,15:00,20:00,15:00,20:00,15:00,20:00,99801,true,true
Bawden Street Brewing Co.,Taproom,,Ketchikan,AK,325 Bawden Street,41.14692,-81.4716,Sean,Heismann,BREWERY_OWNER,sean@insidepassagebrewing.com,(907)-225-4722,https://web.facebook.com/bawdenstreetbrewing/,https://www.instagram.com/bawdenstbrewing/,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,18:00,99901,false,true
